accB	accC
purR	hflD,purB
purR	prs
purR	purA
purR	purC
purR	purE,purK
purR	purH,purD
purR	purL
purR	purM,purN
purR	pyrC
purR	pyrD
purR	speA,speB
putA	putP
puuR	puuA,puuP
puuR	puuD,puuC,puuB
qseB	flhD,flhC
qseB	qseC
rbsR	add
rbsR	purH,purD
rbsR	rbsD,rbsC,rbsB,rbsK
rclR	rclA
rcnR	rcnB
rhaS	rhaB,rhaA,rhaD
rhaS	rhaT
rob	acnA
rob	acrA,acrB
rob	acrZ
rob	aslB
rob	fumC
rob	inaA
rob	ldtB
rob	marB
rob	mltF
rob	nfo
rob	nfsB
rob	sodA
rob	tolC,ygiB,ygiC
rob	ybjC,nfsA,rimK,ybjN
rob	zwf
rutR	carA,carB
rutR	nemA,gloA
rutR	rutA,rutB,rutC,rutE,rutF,rutG
sdiA	ftsQ,ftsA,ftsZ
sdiA	ydiV
soxR	fumC
soxS	acnA
soxS	acrA,acrB
soxS	acrZ
soxS	fldA,uof
soxS	fldB
soxS	fpr
soxS	fumC
soxS	inaA
soxS	marB
soxS	nfo
soxS	nfsB
